"lineage","country_count"
"Empty","['(Germany,1)', '(USA,2)', '(French Guiana,28)']"
"A","['(Gabon,2)', '(Panama,9)', '(United Kingdom,159)', '(Japan,127)', '(Tunisia,2)', '(Ecuador,1)', '(Somalia,2)', '(Chile,2)', '(Russia,2)', '(Colombia,12)', '(Canada,129)', '(Zambia,3)', '(Finland,3)', '(Ethiopia,1)', '(Guatemala,1)', '(Vietnam,5)', '(Mexico,8)', '(Brazil,1)', '(India,116)', '(Argentina,1)', '(Denmark,22)', '(Belgium,13)', '(Nigeria,28)', '(Ireland,21)', '(Peru,1)', '(Norway,8)', '(Philippines,15)', '(Italy,23)', '(United Arab Emirates,270)', '(Pakistan,3)', '(Israel,2)', '(Australia,104)', '(Iceland,2)', '(Nepal,1)', '(Taiwan,2)', '(Saudi Arabia,38)', '(Gambia,7)', '(Netherlands,38)', '(Portugal,2)', '(Sri Lanka,2)', '(China,221)', '(Senegal,3)', '(Thailand,2)', '(South Korea,51)', '(Germany,192)', '(USA,696)', '(Bahrain,2)', '(Malaysia,3)', '(Greece,1)', '(French Guiana,1)', '(Uruguay,1)', '(Zimbabwe,6)', '(Croatia,2)', '(Hong Kong,6)', '(Benin,4)', '(Oman,3)', '(Angola,3)', '(Mali,10)', '(Kazakhstan,3)', '(Trinidad and Tobago,1)', '(Burkina Faso,12)', '(Togo,15)', '(Guinea Bissau,1)', '(Cote d\'Ivoire,3)', '(Sweden,6)', '(Singapore,14)', '(Slovakia,2)', '(Spain,36)', '(Turkey,7)', '(Bangladesh,5)', '(Uzbekistan,1)', '(Czech Republic,2)', '(Jordan,3)', '(Kenya,21)', '(Uganda,12)', '(Qatar,77)', '(Rwanda,4)', '(South Africa,5)', '(Ghana,19)', '(New Zealand,7)', '(Democratic Republic of the Congo,7)', '(Switzerland,17)', '(Egypt,10)', '(Austria,3)', '(France,46)']"
"A.1","['(Vietnam,4)', '(Japan,1)', '(United Kingdom,23)', '(Singapore,3)', '(Chile,1)', '(Iceland,19)', '(USA,2547)', '(New Zealand,23)', '(Mexico,8)', '(Colombia,4)', '(Peru,3)', '(Taiwan,4)', '(Australia,228)', '(Argentina,1)', '(India,2)', '(Costa Rica,3)', '(Greece,1)', '(Canada,365)', '(Panama,11)', '(Brazil,1)', '(Ecuador,1)', '(Hong Kong,4)', '(Uruguay,2)']"
"A.11","['(Ghana,11)', '(New Zealand,1)', '(United Kingdom,1)', '(Senegal,2)']"
"A.12","['(United Kingdom,1)', '(Sierra Leone,5)']"
"A.15","['(Denmark,59)', '(Sweden,3)']"
"A.16","['(Japan,62)']"
"A.17","['(USA,1)', '(France,9)', '(Canada,11)']"
"A.18","['(Burkina Faso,3)', '(France,1)', '(Cote d\'Ivoire,13)']"
"A.19","['(Cote d\'Ivoire,48)', '(Canada,1)', '(Italy,3)', '(Belgium,1)', '(Germany,1)', '(Australia,1)', '(South Korea,1)', '(USA,1)', '(Burkina Faso,34)']"
"A.2","['(Greece,3)', '(Israel,7)', '(United Arab Emirates,1)', '(Finland,1)', '(Uganda,1)', '(Panama,73)', '(France,3)', '(Chile,11)', '(India,3)', '(Kazakhstan,19)', '(Luxembourg,5)', '(Venezuela,1)', '(Costa Rica,1)', '(Equatorial Guinea,2)', '(Australia,10)', '(Vietnam,2)', '(Spain,1076)', '(Austria,6)', '(Senegal,1)', '(Japan,5)', '(Germany,14)', '(Brazil,5)', '(New Zealand,4)', '(Belgium,2)', '(Colombia,2)', '(United Kingdom,82)', '(Portugal,28)', '(Poland,1)', '(China,1)', '(Ecuador,2)', '(Peru,8)', '(Mexico,3)', '(Switzerland,4)', '(Georgia,1)', '(Denmark,6)', '(Netherlands,26)', '(Italy,2)', '(Czech Republic,1)', '(Uruguay,2)', '(USA,54)', '(Canada,12)']"
"A.21","['(Switzerland,1)', '(Australia,4)', '(India,6)', '(Guinea,2)', '(Sweden,1)', '(Mali,4)', '(Hong Kong,2)', '(Angola,1)', '(Netherlands,2)', '(Belgium,4)', '(Portugal,13)', '(Finland,1)', '(France,69)', '(Czech Republic,1)', '(Germany,2)', '(Spain,9)', '(Iceland,1)', '(Canada,1)', '(China,2)', '(Ghana,1)', '(Italy,10)', '(Burkina Faso,48)', '(Cote d\'Ivoire,7)', '(United Kingdom,3)', '(USA,41)', '(Philippines,4)', '(Denmark,8)', '(Senegal,2)']"
"A.22","['(India,1)', '(United Arab Emirates,10)', '(Oman,1)', '(Zambia,1)', '(Uganda,1)']"
"A.2.2","['(Panama,1)', '(USA,10)', '(New Zealand,16)', '(Australia,476)', '(Colombia,3)', '(Canada,14)', '(Israel,2)', '(United Kingdom,4)', '(Portugal,2)']"
"A.23","['(Uganda,74)', '(India,1)', '(USA,8)', '(Canada,8)', '(Kenya,4)', '(Rwanda,1)', '(Cambodia,2)']"
"A.2.3","['(USA,2)', '(Spain,2)', '(United Kingdom,207)', '(China,1)']"
"A.23.1","['(Poland,1)', '(New Zealand,1)', '(Qatar,1)', '(Ireland,1)', '(Uganda,147)', '(South Korea,1)', '(Netherlands,3)', '(Australia,1)', '(Russia,1)', '(Belgium,22)', '(Botswana,1)', '(Mauritius,1)', '(Malaysia,1)', '(Togo,1)', '(Philippines,4)', '(United Arab Emirates,1)', '(Latvia,8)', '(Greece,1)', '(Cameroon,2)', '(Canada,433)', '(Indonesia,6)', '(South Africa,1)', '(USA,74)', '(Kenya,14)', '(India,5)', '(Denmark,7)', '(Rwanda,108)', '(Italy,4)', '(Ghana,3)', '(Germany,3)', '(Israel,1)', '(Republic of the Congo,1)', '(Vietnam,5)', '(Finland,1)', '(Norway,1)', '(United Kingdom,173)', '(Democratic Republic of the Congo,11)', '(Sweden,14)', '(Cambodia,14)', '(Zimbabwe,2)', '(France,3)', '(Switzerland,3)']"
"A.24","['(USA,1)', '(Austria,1)', '(South Korea,9)', '(Singapore,1)', '(Uzbekistan,3)']"
"A.2.4","['(United Kingdom,1)', '(Ecuador,5)', '(Northern Mariana Islands,1)', '(Costa Rica,2)', '(Panama,297)', '(USA,5)']"
"A.25","['(Australia,5)', '(Canada,1)', '(Kenya,2)', '(United Kingdom,10)', '(Uganda,24)']"
"A.2.5","['(Sint Maarten,2)', '(USA,481)', '(Netherlands,1)', '(Honduras,1)', '(Ecuador,11)', '(Portugal,3)', '(New Zealand,1)', '(Mexico,15)', '(Czech Republic,1)', '(Argentina,8)', '(Germany,3)', '(Australia,3)', '(Costa Rica,35)', '(Canada,6)', '(United Arab Emirates,1)', '(Spain,4)', '(Philippines,1)', '(Luxembourg,3)', '(Italy,3)', '(Panama,195)', '(Colombia,6)', '(Dominican Republic,4)', '(Chile,6)']"
"A.2.5.1","['(United Kingdom,4)', '(USA,20)', '(Panama,5)', '(Germany,2)', '(Canada,1)', '(Costa Rica,81)']"
"A.2.5.2","['(Panama,38)', '(Argentina,1)', '(Paraguay,1)', '(USA,29)', '(Costa Rica,16)', '(Italy,73)', '(Japan,1)', '(Canada,34)', '(Mexico,1)', '(Germany,1)', '(United Kingdom,2)', '(Chile,2)']"
"A.26","['(United Kingdom,13)']"
"A.27","['(United Kingdom,20)', '(Austria,7)', '(Tunisia,3)', '(Rwanda,1)', '(India,1)', '(Luxembourg,4)', '(Mayotte,12)', '(Burkina Faso,14)', '(Turkey,5)', '(USA,6)', '(Netherlands,8)', '(Belgium,19)', '(Slovenia,37)', '(Spain,9)', '(Australia,1)', '(Nigeria,2)', '(Togo,19)', '(Indonesia,1)', '(Greece,1)', '(Ireland,2)', '(Italy,9)', '(Senegal,3)', '(Sweden,3)', '(Ghana,1)', '(Switzerland,11)', '(Denmark,2)', '(Germany,29)', '(France,244)', '(Cote d\'Ivoire,2)']"
