"lineage","country_count"
"A.28","['(Luxembourg,3)', '(USA,6)', '(Switzerland,4)', '(Qatar,1)', '(Egypt,19)', '(Italy,9)', '(Jordan,5)', '(Greece,1)', '(Sweden,1)', '(United Arab Emirates,2)', '(Turkey,21)', '(Denmark,8)', '(Japan,1)', '(United Kingdom,6)', '(France,183)', '(Spain,41)', '(Lithuania,2)', '(Indonesia,2)', '(Oman,1)', '(Germany,10)', '(Belgium,2)']"
"A.3","['(New Zealand,1)', '(Australia,1)', '(Mexico,1)', '(USA,386)', '(Taiwan,5)', '(Panama,16)', '(China,1)', '(South Korea,2)', '(Canada,6)', '(United Kingdom,1)', '(United Arab Emirates,1)']"
"A.4","['(USA,73)', '(Canada,1)', '(Japan,1)']"
"A.5","['(Ireland,1)', '(Bolivia,1)', '(Austria,10)', '(Panama,1)', '(Australia,7)', '(Uruguay,23)', '(Colombia,4)', '(Mexico,6)', '(Jordan,1)', '(Spain,319)', '(Israel,3)', '(Portugal,11)', '(Peru,11)', '(United Kingdom,60)', '(Germany,3)', '(USA,11)', '(Canada,2)', '(Chile,7)', '(Singapore,3)', '(Switzerland,1)', '(Italy,1)', '(Greece,3)']"
"A.6","['(South Korea,1)', '(Thailand,183)', '(Cambodia,2)', '(Hong Kong,1)', '(Japan,3)', '(Singapore,3)']"
"A.7","['(USA,1)', '(India,17)', '(China,1)']"
"A.9","['(India,26)', '(Ghana,1)', '(Germany,2)', '(Canada,2)']"
"AA.1","['(Spain,35)', '(North Macedonia,2)', '(Switzerland,8)', '(Denmark,1)', '(Austria,2)', '(Netherlands,11)', '(Portugal,7)', '(United Kingdom,9)', '(Germany,54)']"
"AA.2","['(United Kingdom,130)']"
"AA.3","['(United Kingdom,37)']"
"AA.4","['(United Kingdom,110)']"
"AA.5","['(United Kingdom,62)']"
"AA.6","['(United Kingdom,60)']"
"AA.7","['(United Kingdom,108)']"
"AA.8","['(United Kingdom,45)']"
"AB.1","['(Denmark,114)', '(Switzerland,1)']"
"AC.1","['(United Kingdom,25)']"
"AD.1","['(Denmark,235)']"
"AD.2","['(Greece,140)', '(Lithuania,3)', '(Italy,6)', '(New Zealand,1)', '(Montenegro,1)', '(Hong Kong,1)', '(Canada,1)', '(Singapore,1)', '(Netherlands,11)', '(Germany,4)', '(Taiwan,2)', '(Norway,1)', '(Denmark,2)', '(Luxembourg,2)', '(South Korea,1)', '(Portugal,7)', '(Iceland,2)', '(USA,3)', '(Kosovo,1)', '(United Kingdom,4208)']"
"AD.2.1","['(Lithuania,22)']"
"AE.1","['(United Kingdom,4)', '(Zambia,40)']"
"AE.2","['(Bahrain,14)']"
"AE.3","['(Zambia,11)', '(Rwanda,1)', '(India,1)']"
"AE.4","['(Canada,3)', '(Japan,1)', '(Qatar,1)', '(Bahrain,14)']"
"AE.5","['(Switzerland,1)', '(Zambia,22)', '(United Kingdom,1)']"
"AE.6","['(Bahrain,24)']"
"AE.7","['(Bahrain,12)']"
"AE.8","['(USA,1)', '(South Korea,2)', '(Canada,1516)']"
"AF.1","['(Sweden,1)', '(Indonesia,1)', '(USA,2)', '(France,1)', '(Switzerland,23)']"
"AG.1","['(Iceland,1)', '(Germany,3)', '(Netherlands,9)']"
"AH.1","['(Switzerland,7)']"
"AH.2","['(USA,1)', '(France,17)', '(Switzerland,2)', '(Portugal,1)']"
"AH.3","['(Finland,159)', '(Sweden,2)', '(Italy,2)', '(United Kingdom,5)']"
"AJ.1","['(Gibraltar,5)', '(Portugal,13)']"
"AK.1","['(United Kingdom,69)', '(Germany,1)']"
"AK.2","['(Germany,22)']"
"AL.1","['(Australia,1)', '(Canada,53)', '(USA,3)']"
"AM.1","['(Portugal,8)', '(United Kingdom,1)']"
"AM.2","['(Qatar,2)', '(Canada,8)', '(Japan,3)']"
"AM.3","['(United Kingdom,30)']"
"AM.4","['(Canada,269)', '(Japan,2)', '(Israel,1)']"
"AN.1","['(Luxembourg,1)', '(United Kingdom,1)', '(Belgium,2)', '(Switzerland,14)', '(Germany,7)', '(Sweden,7)', '(Netherlands,17)']"
"AP.1","['(Denmark,5)', '(United Kingdom,625)', '(Germany,30)', '(USA,1)', '(Switzerland,1)', '(Philippines,1)']"
"AQ.1","['(Switzerland,1)', '(Finland,13)']"
"AQ.2","['(Denmark,9)']"
"AS.1","['(United Kingdom,89)', '(Canada,5)']"
"AS.2","['(Turkey,3)', '(United Kingdom,60)']"
"AT.1","['(Germany,1)', '(Finland,7)', '(Russia,79)']"
"AU.1","['(Australia,16)', '(Philippines,1)', '(Papua New Guinea,343)']"
"AU.2","['(Malaysia,172)']"
"AU.3","['(Singapore,4)', '(Indonesia,1)', '(Australia,43)', '(Papua New Guinea,38)']"
"AV.1","['(France,4)', '(United Kingdom,113)']"
"B","['(Uruguay,2)', '(United Arab Emirates,33)', '(Luxembourg,8)', '(Israel,10)', '(Egypt,34)', '(Ecuador,17)', '(Canada,68)', '(Ghana,2)', '(Mexico,7)', '(Thailand,26)', '(Germany,133)', '(India,75)', '(Armenia,1)', '(Oman,12)', '(Bosnia and Herzegovina,1)', '(Malaysia,28)', '(Cameroon,1)', '(Mali,1)', '(Jamaica,1)', '(Russia,1)', '(Brazil,11)', '(Republic of the Congo,4)', '(Ireland,39)', '(Colombia,9)', '(Slovenia,21)', '(Denmark,13)', '(Iran,1)', '(Greece,7)', '(Poland,4)', '(Taiwan,22)', '(Vietnam,5)', '(Botswana,2)', '(Uganda,5)', '(Peru,2)', '(Lebanon,1)', '(Philippines,6)', '(Cambodia,2)', '(Sweden,15)', '(Bangladesh,3)', '(Hong Kong,58)', '(New Zealand,19)', '(Iceland,223)', '(Italy,136)', '(Portugal,34)', '(Switzerland,52)', '(Finland,9)', '(Saudi Arabia,8)', '(Indonesia,40)', '(USA,835)', '(Cote d\'Ivoire,1)', '(Palestine,2)', '(Latvia,5)', '(Panama,1)', '(Senegal,19)', '(Kenya,9)', '(Papua New Guinea,1)', '(Sri Lanka,2)', '(China,692)', '(South Korea,37)', '(United Kingdom,1746)', '(South Africa,11)', '(France,73)', '(Turkey,21)', '(Nigeria,3)', '(Belgium,52)', '(Kazakhstan,1)', '(Kuwait,3)', '(Chile,5)', '(Ukraine,1)', '(Austria,22)', '(Singapore,142)', '(Pakistan,4)', '(Spain,219)', '(Japan,101)', '(Lithuania,2)', '(Georgia,3)', '(Czech Republic,13)', '(Romania,1)', '(Qatar,149)', '(Netherlands,106)', '(Argentina,4)', '(Togo,1)', '(Nepal,1)', '(Norway,13)', '(Australia,120)']"
"B.1","['(Andorra,1)', '(Canada,3514)', '(Indonesia,150)', '(Malta,1)', '(Georgia,11)', '(Ecuador,60)', '(Turkey,1504)', '(Central African Republic,2)', '(Dominican Republic,9)', '(Mauritius,4)', '(France,2453)', '(Cambodia,5)', '(Denmark,1462)', '(Haiti,23)', '(Algeria,9)', '(Israel,456)', '(Malaysia,61)', '(Montenegro,2)', '(Czech Republic,145)', '(Cameroon,40)', '(Crimea,2)', '(Chile,226)', '(Germany,3209)', '(Portugal,454)', '(Jamaica,3)', '(Brazil,238)', '(Gambia,90)', '(Uruguay,3)', '(Belize,3)', '(Northern Mariana Islands,11)', '(Morocco,79)', '(Paraguay,9)', '(Honduras,22)', '(Zimbabwe,54)', '(Namibia,3)', '(Ireland,213)', '(Malawi,1)', '(Slovenia,131)', '(Burkina Faso,42)', '(Benin,5)', '(Bolivia,2)', '(Rwanda,10)', '(Faroe Islands,4)', '(Reunion,4)', '(South Africa,561)', '(Bulgaria,90)', '(Nigeria,70)', '(Venezuela,3)', '(Bahamas,2)', '(Aruba,39)', '(Curacao,11)', '(New Zealand,163)', '(Luxembourg,211)', '(Panama,167)', '(Nepal,3)', '(Thailand,92)', '(Suriname,10)', '(Palestine,13)', '(Italy,1188)', '(Gibraltar,21)', '(Australia,1167)', '(Guyana,2)', '(Kazakhstan,6)', '(Tunisia,10)', '(Bahrain,6)', '(Kenya,425)', '(Vietnam,41)', '(Mayotte,1)', '(Timor-Leste,1)', '(Greece,105)', '(Somalia,15)', '(Saudi Arabia,436)', '(Equatorial Guinea,27)', '(Taiwan,40)', '(Mexico,827)', '(Eswatini,1)', '(Switzerland,2040)', '(El Salvador,4)', '(Iraq,2)', '(Lithuania,76)', '(India,2285)', '(Japan,277)', '(Angola,20)', '(Guinea,15)', '(Liechtenstein,7)', '(Belarus,15)', '(Sint Maarten,1)', '(Guatemala,32)', '(Democratic Republic of the Congo,150)', '(Egypt,289)', '(USA,37022)', '(Belgium,609)', '(Spain,2547)', '(Netherlands,496)', '(Cote d\'Ivoire,21)', '(China,57)', '(Mongolia,7)', '(Slovakia,7)', '(Saint Martin,10)', '(Myanmar,1)', '(Guadeloupe,21)', '(Oman,24)', '(Papua New Guinea,3)', '(Zambia,11)', '(Sierra Leone,3)', '(Afghanistan,4)', '(Bermuda,3)', '(Guinea Bissau,2)', '(morocco,1)', '(Republic of the Congo,18)', '(Lebanon,11)', '(Costa Rica,54)', '(Croatia,66)', '(Serbia,30)', '(Sri Lanka,19)', '(Iran,5)', '(Hong Kong,77)', '(Austria,455)', '(Botswana,15)', '(Trinidad and Tobago,1)', '(Saint Kitts and Nevis,1)', '(United Arab Emirates,127)', '(Philippines,246)', '(Armenia,3)', '(Colombia,299)', '(Bangladesh,98)', '(North Macedonia,27)', '(Sweden,515)', '(Ethiopia,8)', '(Peru,80)', '(Russia,263)', '(Uganda,39)', '(Hungary,55)', '(Finland,671)', '(Pakistan,24)', '(Lesotho,1)', '(Mali,9)', '(United Kingdom,8255)', '(Ukraine,35)', '(Romania,82)', '(Mozambique,36)', '(Poland,83)', '(Qatar,450)', '(Jordan,9)', '(Argentina,205)', '(Madagascar,21)', '(Kuwait,2)', '(Singapore,112)', '(Ghana,60)', '(Bosnia and Herzegovina,32)', '(Togo,13)', '(Estonia,34)', '(Norway,248)', '(Cyprus,3)', '(Saint Barthelemy,2)', '(South Korea,118)', '(Iceland,708)', '(Latvia,28)', '(Moldova,4)', '(Senegal,125)', '(Gabon,7)']"
"B.10","['(Spain,1)', '(Ireland,1)', '(Switzerland,1)', '(United Kingdom,124)']"
"B.11","['(Switzerland,4)', '(United Kingdom,4)', '(Slovakia,1)', '(France,1)', '(Spain,7)', '(Denmark,2)', '(Austria,4)', '(Germany,7)', '(Netherlands,161)', '(Singapore,1)', '(Iceland,5)', '(Israel,1)', '(USA,8)', '(Ireland,1)', '(Canada,1)', '(Lithuania,1)', '(Belgium,14)', '(Russia,1)', '(Sweden,4)']"
"B.1.1","['(Guadeloupe,1)', '(Faroe Islands,3)', '(Hungary,33)', '(Gambia,78)', '(Ghana,120)', '(Senegal,47)', '(Israel,145)', '(Costa Rica,13)', '(Romania,42)', '(Zambia,21)', '(Venezuela,3)', '(Denmark,760)', '(Pakistan,5)', '(Egypt,55)', '(Japan,3796)', '(Slovakia,10)', '(Qatar,99)', '(Kuwait,1)', '(USA,6596)', '(Taiwan,18)', '(Switzerland,994)', '(Zimbabwe,45)', '(Mauritius,84)', '(Afghanistan,1)', '(Nigeria,85)', '(Iceland,199)', '(Rwanda,4)', '(Guinea Bissau,6)', '(Lebanon,4)', '(Czech Republic,116)', '(Cameroon,4)', '(Philippines,454)', '(North Macedonia,53)', '(Uganda,3)', '(Iran,4)', '(Bahamas,2)', '(Nepal,6)', '(Russia,1689)', '(Morocco,52)', '(Vietnam,67)', '(Germany,1972)', '(Cyprus,13)', '(New Zealand,166)', '(Saudi Arabia,85)', '(Guam,2)', '(Azerbaijan,6)', '(Curacao,2)', '(Myanmar,1)', '(Democratic Republic of the Congo,1)', '(Turkey,1083)', '(Kazakhstan,41)', '(Chile,216)', '(Serbia,2)', '(Malaysia,7)', '(Malta,2)', '(Gabon,9)', '(Spain,777)', '(Jamaica,1)', '(Armenia,39)', '(Bahrain,8)', '(Peru,281)', '(Namibia,11)', '(Georgia,14)', '(Panama,8)', '(Palestine,5)', '(Canada,1349)', '(Thailand,45)', '(China,31)', '(Montenegro,1)', '(South Africa,366)', '(Bulgaria,19)', '(Bangladesh,83)', '(Hong Kong,111)', '(Sierra Leone,2)', '(Kenya,77)', '(Moldova,3)', '(Finland,213)', '(Ecuador,191)', '(Honduras,1)', '(Estonia,33)', '(Bosnia and Herzegovina,5)', '(Netherlands,412)', '(Sri Lanka,4)', '(South Korea,122)', '(Algeria,4)', '(Australia,392)', '(Jordan,15)', '(France,436)', '(Madagascar,61)', '(Iraq,2)', '(Luxembourg,140)', '(Burkina Faso,9)', '(Slovenia,123)', '(Uruguay,2)', '(Italy,668)', '(Sweden,452)', '(Mozambique,6)', '(Ukraine,27)', '(Oman,24)', '(Belarus,2)', '(Colombia,70)', '(Poland,531)', '(India,1024)', '(Belize,2)', '(Belgium,519)', '(Norway,195)', '(Brazil,440)', '(Cambodia,2)', '(Malawi,2)', '(Botswana,17)', '(Indonesia,115)', '(Togo,7)', '(Portugal,821)', '(Argentina,30)', '(Tunisia,7)', '(Cote d\'Ivoire,3)', '(United Kingdom,15545)', '(Liechtenstein,1)', '(Croatia,20)', '(Mexico,235)', '(Lithuania,58)', '(Mayotte,3)', '(Latvia,81)', '(Greece,398)', '(Austria,259)', '(Ireland,381)', '(Angola,1)', '(Crimea,4)', '(Gibraltar,40)', '(Uzbekistan,6)', '(Equatorial Guinea,2)', '(United Arab Emirates,261)', '(Northern Mariana Islands,1)', '(Singapore,130)', '(Bolivia,9)']"
"B.1.103","['(USA,47)', '(Canada,1)']"
"B.1.104","['(Mexico,1)', '(United Kingdom,209)', '(Singapore,7)', '(Switzerland,1)', '(Australia,1)', '(Canada,2)', '(Turkey,2)', '(USA,31)', '(Colombia,1)', '(Philippines,6)', '(Hong Kong,2)', '(Croatia,1)']"
"B.1.105","['(United Kingdom,99)', '(Italy,3)', '(Mexico,2)']"
"B.1.106","['(USA,31)']"
"B.1.108","['(Australia,6)', '(Japan,1)', '(USA,134)']"
"B.1.1.1","['(Luxembourg,1)', '(Kenya,3)', '(Canada,44)', '(Nigeria,2)', '(United Kingdom,1557)', '(Rwanda,2)', '(Austria,19)', '(Vietnam,2)', '(Togo,1)', '(Hungary,8)', '(Ukraine,4)', '(Croatia,1)', '(Peru,135)', '(Aruba,1)', '(Netherlands,24)', '(Brazil,2)', '(Namibia,2)', '(Israel,3)', '(South Korea,6)', '(New Zealand,6)', '(Pakistan,10)', '(Ireland,9)', '(Argentina,46)', '(Denmark,46)', '(Spain,54)', '(Hong Kong,5)', '(Costa Rica,3)', '(Bulgaria,3)', '(Slovakia,7)', '(Latvia,1)', '(Philippines,1)', '(Ecuador,19)', '(Poland,8)', '(Bahrain,1)', '(South Africa,25)', '(Switzerland,17)', '(Finland,4)', '(Tunisia,3)', '(France,24)', '(Japan,39)', '(Guadeloupe,5)', '(Egypt,17)', '(India,1)', '(Turkey,27)', '(Mozambique,2)', '(Democratic Republic of the Congo,10)', '(Iceland,13)', '(Malaysia,1)', '(Germany,159)', '(Greece,2)', '(Serbia,6)', '(Chile,7)', '(Colombia,1)', '(Uruguay,4)', '(Estonia,2)', '(Sweden,4)', '(Singapore,3)', '(Cameroon,40)', '(Malawi,1)', '(Norway,26)', '(Uganda,6)', '(Mayotte,1)', '(Zambia,1)', '(USA,138)', '(Australia,44)', '(Portugal,7)', '(Czech Republic,8)', '(Russia,11)', '(Belgium,125)', '(Italy,58)', '(Mexico,1)']"
"B.1.110","['(Turkey,1)', '(USA,75)', '(Australia,10)', '(Argentina,10)', '(Chile,122)', '(New Zealand,1)']"
"B.1.1.10","['(Portugal,1)', '(Armenia,1)', '(Austria,1)', '(Australia,10)', '(Belgium,3)', '(Nigeria,11)', '(Taiwan,1)', '(United Kingdom,480)', '(Turkey,3)', '(Singapore,7)', '(New Zealand,1)', '(Netherlands,8)', '(Lithuania,5)', '(Canada,34)', '(Ecuador,2)', '(Poland,4)', '(India,3)', '(Iceland,50)', '(USA,51)', '(Mexico,1)', '(Switzerland,24)', '(Germany,36)', '(Chile,6)', '(South Africa,2)', '(Finland,11)', '(Kazakhstan,1)', '(Russia,5)', '(Oman,1)', '(Norway,3)', '(Georgia,2)', '(Czech Republic,3)', '(Qatar,8)', '(Estonia,9)', '(Italy,1)', '(France,4)', '(Peru,2)', '(Japan,19)', '(Azerbaijan,2)', '(Ireland,24)', '(Thailand,3)']"
"B.1.1.100","['(Denmark,25)', '(USA,3)']"
"B.1.1.101","['(Turkey,1)', '(United Kingdom,1)', '(USA,29)', '(Russia,1)', '(Japan,1)', '(India,59)', '(Canada,1)', '(France,1)', '(Uganda,1)', '(Cameroon,1)']"
"B.1.110.1","['(USA,1)', '(Chile,9)']"
"B.1.110.2","['(United Kingdom,6)']"
"B.1.110.3","['(Serbia,1)', '(Canada,1)', '(South Korea,1)', '(Ukraine,1)', '(Taiwan,1)', '(Cameroon,1)', '(Finland,1)', '(Russia,2)', '(USA,617)', '(United Kingdom,2)']"
"B.1.1.107","['(United Kingdom,31)']"
"B.1.1.109","['(Turkey,1)', '(United Kingdom,24)']"
"B.1.111","['(Spain,18)', '(Ecuador,1)', '(France,2)', '(Netherlands,4)', '(Curacao,1)', '(USA,366)', '(Trinidad and Tobago,24)', '(India,1)', '(Chile,10)', '(Panama,4)', '(Venezuela,2)', '(Canada,75)', '(Singapore,3)', '(Guyana,1)', '(Switzerland,6)', '(Japan,1)', '(Indonesia,2)', '(North Macedonia,2)', '(Brazil,5)', '(Peru,7)', '(Costa Rica,1)', '(United Kingdom,12)', '(Denmark,3)', '(Aruba,17)', '(Germany,2)', '(Colombia,169)', '(Mexico,2)', '(Guatemala,1)', '(Australia,3)']"
"B.1.1.110","['(Peru,12)', '(Finland,1)']"
"B.1.1.111","['(Kenya,1)', '(Democratic Republic of the Congo,2)', '(United Kingdom,2)', '(Zambia,24)', '(USA,1)', '(Zimbabwe,33)', '(Ecuador,1)']"
"B.1.1.112","['(Netherlands,16)']"
"B.1.1.113","['(Austria,1)', '(USA,72)', '(United Kingdom,1)', '(Portugal,1)']"
"B.1.1.114","['(United Kingdom,15)']"
"B.1.1.115","['(Spain,1)', '(United Kingdom,111)', '(USA,1)', '(Germany,1)', '(Japan,1)', '(Turkey,1)']"
"B.1.1.116","['(India,2)', '(USA,16)']"
"B.1.1.117","['(India,1)', '(Argentina,2)', '(Russia,6)', '(USA,9)', '(South Africa,55)', '(Canada,1)', '(Ghana,1)', '(Brazil,1)', '(Switzerland,1)', '(Japan,1)', '(United Kingdom,2)']"
"B.1.1.118","['(Canada,1)', '(USA,82)']"
"B.1.1.119","['(United Kingdom,29)']"
"B.1.112","['(USA,193)', '(Gabon,1)']"
"B.1.1.12","['(Bangladesh,1)', '(Czech Republic,1)', '(Lithuania,9)', '(United Kingdom,115)', '(Brazil,1)', '(Botswana,1)']"
"B.1.1.120","['(United Kingdom,30)']"
"B.1.1.121","['(United Kingdom,4)', '(Japan,1)', '(Greece,1)', '(USA,5)', '(Canada,352)']"
"B.1.1.122","['(Japan,1)', '(Germany,1)', '(USA,2)', '(Ukraine,2)', '(United Kingdom,1)', '(Belgium,1)', '(Netherlands,13)', '(Philippines,1)']"
"B.1.1.123","['(United Kingdom,55)', '(USA,1)']"
"B.1.1.125","['(United Kingdom,98)']"
"B.1.1.127","['(Russia,16)']"
"B.1.1.128","['(Argentina,1)', '(Mexico,1)', '(United Kingdom,1)', '(USA,104)']"
"B.1.1.129","['(Switzerland,1)', '(Russia,36)', '(Germany,70)']"
"B.1.113","['(India,61)']"
"B.1.1.13","['(Russia,1)', '(United Kingdom,19)']"
"B.1.1.130","['(United Kingdom,64)']"
"B.1.1.132","['(Spain,4)', '(India,2)', '(USA,61)', '(Latvia,1)', '(Russia,1)', '(United Kingdom,1)', '(Japan,8)']"
"B.1.1.133","['(United Arab Emirates,69)', '(Germany,2)', '(Japan,4)', '(Mexico,1)', '(Australia,10)', '(Canada,2)', '(USA,1)', '(Ireland,1)', '(United Kingdom,18)', '(New Zealand,1)', '(South Korea,1)']"
"B.1.1.134","['(Russia,1)', '(Poland,1)', '(Japan,3)', '(Latvia,3)', '(Mozambique,1)', '(United Kingdom,72)', '(Philippines,1)', '(USA,4)']"
